3;"Nastąpi rozwój rynku SWD w Polsce";;;;;;;;;
;"kod tezy:";;;;;;;;;
"3.1";"Łączne przychody producentów oprogramowania i operatorów SWD w cenach stałych, zmiana w % w stosunku do 2012";;;;;;;;;
;"kod pytania:";"P2";;;;;;;;
;"jednostka:";"procent";;;;;;;;
;"sposób analizy:";;;;;;;;;
;"id użytkownika";"Współczynnik kompetencji";"Współczynnik samooceny";"Stan obecny";"Stan w roku 2015";"Stan w roku 2020";"Stan w roku 2025";"Dalszy rozwój do roku 2030";"Uwagi";"Stopień pewności"
"3.1";68;0,5;0,2;"n/a";20;30;40;40;"Najprawdopodobniej przychody producentów oprogramowania i operatorów SWD będą rosły, aż do wymyślenie nowej technologii wspierania decyzji człowieka. W przypadku stworzenia w miarę sprawnie działającej sztucznej inteligencji po 2025 roku zwykłe SWD straciłoby na znaczeniu.";"pewność"
"3.1";140;0,8;0,2;"n/a";15;25;40;50;;"wyrażam tylko swój subiektywny pogląd"
"3.1";248;0,4;0,2;"n/a";10;15;25;50;"Początkowo mniejsze ze względu na włożone fundusze w prace badawcze.";"wyrażam tylko swój subiektywny pogląd"
"3.1";284;0,8;0,2;"n/a";15;35;80;140;"Wzrost przychodów powinien być wprost proporcjonalny do wzrostu liczby użytkowników. Większy obszar zastosowań oznacza również większy popyt";"wyrażam tylko swój subiektywny pogląd"
"3.1";312;0,7;0,2;"n/a";5;25;50;70;"ocena własna - subiektywna";"wyrażam tylko swój subiektywny pogląd"
"3.1";315;0,6;0,75;"n/a";1;2;5;5;"Rozpowszechnienie systemów operacyjnych typu Linux obniży współczynniki zysków.";"wyrażam tylko swój subiektywny pogląd"
"3.1";344;1;0,5;"n/a";10;15;20;25;;"wyrażam tylko swój subiektywny pogląd"
"3.1";345;0,6;0,2;"n/a";10;15;20;25;;"wyrażam tylko swój subiektywny pogląd"
"3.1";347;0,5;0,2;"n/a";10;50;110;250;"Powinno być 110, 50, 220 , 350%. Uzasadnienie: ""Mniejsza prognozowana dynamika rozwoju rynku SWD w Polsce niż w skali światowej ze względu na sytuację finansową kraju. Odnotowany zostanie dynamiczny wzrost przychodów, jednak nie będzie on proporcjonalny do wzrostu wykorzystania systemów ze względu na powstawanie SWD open-source i rosnącą konkurencję w branży. W porównaniu do prognoz na skalę światową w Polsce odnotowany zostanie mniejszy wzrost dochodów w branży""";"z dużym prawdopodobieństwem"
"3.1";353;0,5;0,2;"n/a";60;70;80;90;;"wyrażam tylko swój subiektywny pogląd"
"3.1";354;0,5;0,2;"n/a";15;40;55;65;"pomimo dynamicznego wzrostu przychodów zysk netto niekoniecznie będzie rósł aż tak dynamicznie gdyż nakłady na badania ze strony producentów oprogramowania będą pochłaniały znaczną część przychodów";"wyrażam tylko swój subiektywny pogląd"
"3.1";361;0,6;0,2;"n/a";20;25;30;25;;"wyrażam tylko swój subiektywny pogląd"
"3.1";363;0,5;0,2;"n/a";5;5;15;30;"Rozwój w Polsce będzie opóźniony względem najbardziej rozwiniętych państw";"wyrażam tylko swój subiektywny pogląd"
"3.1";364;0,6;0,2;"n/a";3;4;4;4;"oszacowanie własne na podstawie ogólnej wiedzy";"wyrażam tylko swój subiektywny pogląd"
