;"Globalne trendy technologiczne i społeczne oraz bariery rozwojowe, potencjalne problemy i wyzwania mające wpływ na rozwój SWD i systemów eksperckich";;;;;;;;;
;"kod tezy:";;;;;;;;;
1;"Globalny PNB (2011=100%)";;;;;;;;;
;"kod pytania:";"P1";;;;;;;;
;"jednostka:";"procent";;;;;;;;
;"sposób analizy:";;;;;;;;;
;"id użytkownika";"Współczynnik kompetencji";"Współczynnik samooceny";"Stan obecny";"Stan w roku 2015";"Stan w roku 2020";"Stan w roku 2025";"Stan w roku 2030";"Uwagi";"Stopień pewności"
1;7;0,7;0,25;120;130;140;150;160;"uzasadnienie";"wyrażam tylko swój subiektywny pogląd"
1;11;1;0,25;104;120;140;165;195;;"wyrażam tylko swój subiektywny pogląd"
1;68;0,5;0,2;5;10;20;30;35;;"wyrażam tylko swój subiektywny pogląd"
1;104;0,3;0,4;101;;;;;;"wyrażam tylko swój subiektywny pogląd"
1;134;0,4;0,5;103;105;113;122;128;"Niejednoznaczny sposób udzielania odpowiedzi! zob. np.: http://data.worldbank.org/indicator/NY.GDP.MKTP.CD/countries?display=graph; oraz: http://www.imf.org/external/pubs/ft/weo/2012/01/index.htm";"wyrażam tylko swój subiektywny pogląd"
1;140;0,8;0,2;150;155;160;165;170;;"wyrażam tylko swój subiektywny pogląd"
1;146;0,5;0,2;110;135;140;135;130;"brak";"wyrażam tylko swój subiektywny pogląd"
1;150;0,5;0,2;101;101;103;104;104;"tytaj jest PNB a w ostatnim pytaniu PKB. wartość produktu narodowego jest chyba rzadziej podawana w danych statystycznych";"wyrażam tylko swój subiektywny pogląd"
1;258;0,5;0,6;105;110;125;140;155;;"wyrażam tylko swój subiektywny pogląd"
1;264;0,3;0,25;100;98;100;99;99;;"wyrażam tylko swój subiektywny pogląd"
1;284;0,8;0,2;105;115;140;180;250;"Dynamiczny rozwój krajów azjatyckich i afrykańskich";"wyrażam tylko swój subiektywny pogląd"
1;311;0,5;0,75;102;104;110;115;120;;"wyrażam tylko swój subiektywny pogląd"
1;312;0,7;0,75;103;105;110;120;130;"szacunki własne z uwzględnieniem oficjalnych prognoz";"wyrażam tylko swój subiektywny pogląd"
1;315;0,6;0,75;106;107;120;200;350;"Jest to parametr zmieniajacy dynamicznie w zaleznosci od sytuacji politycznej - obecnie dynamika zagrozenia konfliktem zbrojnym jest wysoka co moze dramatycznie zmieniac wartosc nakladow zarowno in plus w czasie wojny jak in munus w wyniku fizycznych zniszczen.";"wyrażam tylko swój subiektywny pogląd"
1;331;0,5;0,2;150;;;;;;"wyrażam tylko swój subiektywny pogląd"
1;333;0,6;0,25;100;;;;;;"wyrażam tylko swój subiektywny pogląd"
1;335;0,6;0,2;110;120;125;130;145;"szacując wzrost PNB brałem pod uwagę także sytuacje polityczno-rozwojową państw afrykańskich Ameryki Południowej oraz związanego z tym dostępu do nowoczesnych technologii. Nie przewiduję większej rewolucji poza prawdopodobnych skokiem technologicznym ok. 2030 roku części państw w/w regionów.";"wyrażam tylko swój subiektywny pogląd"
1;336;0,8;0,8;102;102;102;103;103;;"wyrażam tylko swój subiektywny pogląd"
1;338;0,5;1;80;80;90;90;95;"Z uwagi na znaczący dynamizm zmian w gospodarce, wszelkie prognozy wydają się być obarczone bardzo dużym błędem.";"wyrażam tylko swój subiektywny pogląd"
1;341;0,3;0,25;110;115;120;130;155;;"wyrażam tylko swój subiektywny pogląd"
1;344;1;0,5;100;100;100;100;100;;"wyrażam tylko swój subiektywny pogląd"
1;345;0,6;0,2;105;108;113;120;123;"test";"wyrażam tylko swój subiektywny pogląd"
