11;"Perspektywy integracji baz wiedzy, systemów eksperckich i SWD";;;;;;;;;
;"kod tezy:";;;;;;;;;
"11.1";"Informacja znajdująca się w sieci i powszechnie dostępna poprzez przeglądarki i wyszukiwarki internetowe zostaje uznana za reprezentatywną dla:";;;;;;;;;
;"kod pytania:";;;;;;;;;
;"jednostka:";;;;;;;;;
;"sposób analizy:";;;;;;;;;
"11.1 a";"a) badań naukowych";;;;;;;;;
;"kod pytania:";"P";;;;;;;;
;"jednostka:";"procent";;;;;;;;
;"sposób analizy:";;;;;;;;;
;"id użytkownika";"Współczynnik kompetencji";"Współczynnik samooceny";"Stan obecny";"Stan w roku 2015";"Stan w roku 2020";"Stan w roku 2025";"Dalszy rozwój do roku 2030";"Uwagi";"Stopień pewności"
"11.1 a";68;0,5;0,2;"n/a";10;20;30;40;;"wyrażam tylko swój subiektywny pogląd"
"11.1 a";128;0,7;0,2;"n/a";;;;;"Słowo 'reprezentatywna' nie jest właściwe dla informacji wykorzystywanej w badaniach naukowych. Reprezentatywność oznaczałaby jakąś unifikację wiedzy w danym obszarze, co jest sprzeczne z istotą nauki, opierającej się na krytycznym podejściu juz do informacji źródłowej. Powstaje pytanie, kto miałby orzekać, czy dana informacja jest reprezentatywna dla danego obszaru wiedzy.";"wyrażam tylko swój subiektywny pogląd"
"11.1 a";140;0,8;0,2;"n/a";10;30;35;50;;"wyrażam tylko swój subiektywny pogląd"
"11.1 a";284;0,8;0,2;"n/a";25;40;70;85;"Informacje znajdujące się w sieci posiadają niezwykle szerokie spektrum zalet nad systemami tradycyjnymi, więc osiągnięcie przez nie rynkowej dominacji jest nieuchronne";"jestem raczej pewnien (pewna)"
"11.1 a";315;0,6;0,75;"n/a";50;70;90;100;"W dziedzinie badan nie wojskowych preferowana jest model Open Science";"wyrażam tylko swój subiektywny pogląd"
"11.1 a";344;1;0,5;"n/a";50;50;50;50;;"wyrażam tylko swój subiektywny pogląd"
"11.1 a";347;0,5;0,2;"n/a";35;50;70;85;"""Informacje znajdujące się w sieci z czasem staną się coraz bardziej reprezentatywnym źródłem wiedzy.""";"jestem raczej pewnien (pewna)"
"11.1 a";353;0,5;0,2;"n/a";20;45;50;65;;"wyrażam tylko swój subiektywny pogląd"
"11.1 a";354;0,5;0,2;"n/a";0;2;5;10;"informacje dostępne w internecie to bardzo często kompletne brednie nie nadające się jako wiarygodne dane";"wyrażam tylko swój subiektywny pogląd"
"11.1 a";361;0,6;0,2;"n/a";10;5;5;5;;"wyrażam tylko swój subiektywny pogląd"
"11.1 a";363;0,5;0,2;"n/a";5;10;15;20;;"wyrażam tylko swój subiektywny pogląd"
"11.1 a";364;0,6;0,2;"n/a";10;15;20;40;"oszacowanie własne na podstawie ogólnej wiedzy";"wyrażam tylko swój subiektywny pogląd"
"11.1 a";367;0,7;0,2;"n/a";5;10;15;15;"opinia własna";"wyrażam tylko swój subiektywny pogląd"
"11.1 a";398;0,1;0,2;"n/a";15;20;25;30;;"wyrażam tylko swój subiektywny pogląd"
"11.1 a";407;0,5;0,2;"n/a";5;15;25;35;"Istnieje już wiele projektów, które mają służyć centralizacji wiedzy i ułatwienia wyszukiwań informacji dla naukowców, jednak są to zwykle systemy ograniczone do zakresu jednej lub kilku dziedzin. Z uwagi na stopień skomplikowania i różnorodność tego typu informacji rozwój systemów może być wolniejszy niż w innych dziedzinach.";"wyrażam tylko swój subiektywny pogląd"
"11.1 a";413;0,5;0,2;"n/a";5;5;10;10;"Uważam, że pewnym danych które można bez zastanowienia zastosować w badaniach naukowych jest mało. Dostępne są oczywiście różnego rodzaju naukowe publikacje ale poza tym w sieci jest mnóstwo niezweryfikowanych informacji przekazywanych na zasadzie plotek.";"wyrażam tylko swój subiektywny pogląd"
"11.1 a";415;0,5;0,2;"n/a";5;5;5;5;"W sieci znajduje się bardzo dużo informacji ale tylko neiwielki procent jest użyteczny i może pomóc w prowadzeniu badań naukowych";"wyrażam tylko swój subiektywny pogląd"
"11.1 a";416;0,9;0,2;"n/a";50;65;75;80;"Już w tym momencie dużo publikacji (artykułów, książek i in.) naukowych znajduje się w sieci. Należy jednak zwrócić uwagę na to, że można je wyszukać przez wyszukiwarki internetowe i są dostępne przez przeglądarki, jednak często szczegółowa wiedza (np cały artykuł) dostępny jest po odpowiedniej opłacie. Tutaj zakładam, że opłata za dostęp do wiedzy nie przeczy jej powszechnej dostępności (ponieważ każdy zainteresowany może teoretycznie zapłacić).";"wyrażam tylko swój subiektywny pogląd"
"11.1 a";417;0,01;0,2;"n/a";5;10;10;10;;"wyrażam tylko swój subiektywny pogląd"
"11.1 a";418;0,5;0,2;"n/a";30;35;40;45;"W Internecie znajdują się wiele pożytecznych i prawdziwych informacji, jednak wciąż możliwe jest publikowanie bzdur i nie jest to w żaden sposób karane. Należy więc z pewną ostrożnością traktować wszelkie informacje naukowe znajdywane w sieci.";"wyrażam tylko swój subiektywny pogląd"
"11.1 a";421;0,5;0,2;"n/a";20;30;40;50;"Coraz większa ilość badań naukowych zostaje przeprowadzana z wykorzystaniem sieci, więc tam też często następuje ich publikacja. Odsetek tych informacji będzie rósł z czasem, aż osiągnie około połowę ogółu.";"wyrażam tylko swój subiektywny pogląd"
"11.1 a";423;0,6;0,2;"n/a";20;30;35;40;"Uważam, że środowisko naukowe w tej sprawie będzie powściągliwe, jednak wydaje mi się, że z informacji pozyskanych przez internet może uczynić punkt wyjścia do dalszych badań.";"wyrażam tylko swój subiektywny pogląd"
"11.1 a";452;0,5;0,2;"n/a";5;10;20;50;"Obecnie widoczna tendencja do coraz większego wykorzystania zasobów dostępnych w sieci jak i coraz większa ilość tychże nie pozostawia wątpliwości co do rosnącego charakteru trendu tych zastosowań.";"nie jestem pewien,ale chciałbym by tak było"
"11.1 a";462;0,5;0,4;"n/a";5;10;15;20;"Raczej wymagana będzie dodatkowa weryfikacja zasobu, niektóre portale zawierają pozycje o wysokiej jakości, dlatego nie wymagają dalszej weryfikacji.";"wyrażam tylko swój subiektywny pogląd"
"11.1 a";465;0,5;0,2;"n/a";60;60;65;70;"Sieć daje duże możliwość osobom szukającym informacji do badań naukowych. Systemy ankietowe pomagają w zbieraniu danych od ludzi. Wyszukiwarki artykułów naukowych, poważne serwisy skupiające ekspertów, profesjonalne fora naukowe to kopalnia wiedzy, która z powodzeniem może zostać wykorzystana w badaniach naukowych. Należy jednak pamiętać, że nie wszystkie informacje znalezione w sieci to informacje prawdziwe. Zakładam jednak, że wskaźnik ten nie będzie gwałtownie wzrastał. Osoby posiadające ekspercką wiedzę, którą można wykorzystać w badaniach naukowych w zdecydowanej większości mają już dostęp do internetu, zakładam, że przeciętny obywatel (dostęp do internetu wzrośnie głównie u przeciętnych obywateli) ma jedynie minimalny wpływ na takie informacje (np. ankiety).";"wyrażam tylko swój subiektywny pogląd"
"11.1 a";494;0,8;0,5;"n/a";80;85;95;97;"Wśród badań naukowych należy wyróżnić dwa typy: naukowe na rzecz uczelni czy projektów badawczych oraz naukowe na rzecz przedsiębiorstw. Pierwszy typ w zasadzie w całości będzie publikowany w internecie, a dostępność tych prac i wyników badań będzie wzrastać wraz z dostępnością internetu na wszystkich kontynentach. Natomiast drugi typ prac w zasadzie pozostaje i w przyszłości również będzie niedostępny. Badania naukowe na rzecz konkretnych przedsiębiorstw nie będą publikowane, ze wzgledu na konkurencję rynkową.";"wyrażam tylko swój subiektywny pogląd"
"11.1 a";506;0,7;0,2;"n/a";65;70;75;80;"Coraz lepszy dostęp przez aktualizowanie informacji przez ośrodki naukowe i badawcze";"z dużym prawdopodobieństwem"
"11.1 a";512;0,5;0,2;"n/a";15;60;75;90;"Dane będą rosły w tempie tak dużym, że systemy eksperckie nie będą nadążały z ich gromadzeniem. Ostatecznie uda się stworzyć taki system ale wywoła to dużą falę protestów przeciwko ""wielkiemu bratu""";"wyrażam tylko swój subiektywny pogląd"
"11.1 a";513;0,5;0,2;"n/a";20;25;30;35;"Zasoby dostępne w internecie nie są zbyt dobrym źródłem danych do badań naukowych z racji małej wiarygodności, lecz w pozostałych dziedzinach bywają przydatne. W dziedzinach marketingowych są one jednak nieocenione głównie z powodu serwisów społecznościowych, które do celów zbierania informacji marketingowych są idealne";"wyrażam tylko swój subiektywny pogląd"
